asset_id,drift_type,component,expected_value,actual_value,severity,acknowledged,change_count
5,config,pg statement_timeout,30000ms,0 (disabled),critical,false,1
5,config,pg log_min_duration_statement,1000ms,disabled,high,false,2
8,config,kafka log.retention.hours,168,720,high,false,1
8,config,kafka num.replica.fetchers,4,1,medium,false,1
3,package,fraud-model version,v3.2.1,v3.1.8,critical,false,1
9,config,kyc-service connection_pool_size,50,10,critical,false,3
11,config,settlement batch_timeout_minutes,120,30,high,false,2
13,config,hsm key_ceremony_quorum,3-of-5,2-of-5,critical,false,1
1,secret,payment-gateway TLS cert expiry,365 days,12 days,critical,false,0
14,config,api-gateway rate_limit_per_ip,1000/min,10000/min,critical,false,1
10,package,aml-screening sanctions_db version,2026-05-14,2026-04-01,critical,false,0
4,config,fraud-ml-02 model_fallback_enabled,true,false,high,false,1
16,config,risk-engine credit_score_cache_ttl,300s,3600s,medium,false,2
6,config,ledger-replica max_replication_lag_bytes,10MB,500MB,high,false,1
15,config,merchant-portal session_timeout,3600s,86400s (24h),medium,false,1
