cve_id,asset_id,severity,cvss_score,title,description,affected_component,resolution,status
CVE-2024-5535,1,critical,9.1,OpenSSL SSL_select_next_proto Buffer Overread,Buffer overread in SSL_select_next_proto allows remote attackers to trigger crash or data exposure via ALPN negotiation.,OpenSSL 3.2.1,Upgrade OpenSSL to 3.2.2+. Apply vendor patches immediately.,in_progress
CVE-2024-38472,2,high,8.1,Apache HTTP Server SSRF on Windows,Server Side Request Forgery vulnerability in Apache httpd on Windows allows proxy abuse.,Apache httpd 2.4.59,Upgrade to Apache httpd 2.4.60. Restrict UNC paths in config.,open
CVE-2024-39689,3,high,7.5,Certifi Removal of e-Tugra Root Certificate,Certifi python package contained e-Tugra root CA enabling MITM on TLS connections.,certifi 2024.2.2,Upgrade certifi to 2024.7.4+. Audit TLS certificate chains.,resolved
CVE-2024-37891,5,medium,4.4,urllib3 Proxy-Authorization Header Leak,urllib3 forwards Proxy-Authorization headers to destination servers when redirected.,urllib3 2.2.1,Upgrade urllib3 to 2.2.2+. Audit proxy configurations.,resolved
CVE-2024-6345,8,critical,10.0,pypa/setuptools Remote Code Execution,Arbitrary code execution via malicious package URL in package_index module.,setuptools 70.0.0,Upgrade setuptools to 70.3.0+. Audit all package sources.,open
CVE-2024-45490,9,critical,9.8,libexpat XML Parsing Crash,Negative length in XML_ParseBuffer in libexpat allows remote code execution via crafted XML.,libexpat 2.6.2,Upgrade libexpat to 2.6.3+. Validate XML input at boundary.,in_progress
CVE-2024-8088,10,high,7.5,Python zipfile Infinite Loop DoS,Infinite loop in zipfile module when processing malformed ZIP with zero-size extra field.,Python 3.12.4,Upgrade Python to 3.12.5+. Validate ZIP files before processing.,open
CVE-2024-43044,11,critical,9.8,Jenkins Arbitrary File Read via Agent,Jenkins agents can read arbitrary files from the controller filesystem via ClassLoaderProxy.,Jenkins 2.470,Upgrade Jenkins to 2.471+. Restrict agent-to-controller access.,open
CVE-2024-38816,12,high,8.8,Spring Framework Path Traversal,Path traversal in Spring MVC and WebFlux when serving static resources via RouterFunctions.,Spring Framework 6.1.11,Upgrade to Spring Framework 6.1.12+. Apply security filters.,resolved
CVE-2024-47554,13,medium,5.3,Apache Commons IO Infinite Loop,Uncontrolled resource consumption via XmlStreamReader in Apache Commons IO.,Commons IO 2.16.1,Upgrade to Commons IO 2.17.0+.,open
CVE-2024-29131,5,high,8.2,Apache Commons Configuration Stack Overflow,Stack overflow in ListDelimiterHandler causes DoS via crafted configuration values.,Commons Configuration 2.10.0,Upgrade to 2.10.1+. Restrict configuration input sources.,in_progress
CVE-2024-52316,14,critical,9.8,Apache Tomcat Authentication Bypass,Improper error handling in Tomcat Jakarta authentication allows auth bypass without credentials.,Apache Tomcat 11.0.0-M20,Upgrade to Tomcat 11.0.0-M21+. Apply immediately - active exploitation.,open
